scenario,strategy,job_index,makespan_seconds,energy_joules
heterogeneous_rate,proportional_snapshot,29,8.75,285.7527
heterogeneous_rate,proportional_snapshot,30,8.75,257.3782
heterogeneous_rate,proportional_snapshot,31,8.75,273.9016
heterogeneous_rate,proportional_snapshot,32,8.75,263.4833
heterogeneous_rate,proportional_snapshot,33,8.75,269.1207
heterogeneous_rate,proportional_snapshot,34,8.75,278.6126
heterogeneous_rate,proportional_snapshot,35,8.75,291.2628
heterogeneous_rate,proportional_snapshot,36,8.75,281.3419
heterogeneous_rate,proportional_snapshot,37,8.75,258.4922
heterogeneous_rate,proportional_snapshot,38,8.75,284.5162
heterogeneous_rate,proportional_snapshot,39,8.75,247.5809
heterogeneous_rate,adaptive_dlt,0,5.0,235.9078
heterogeneous_rate,adaptive_dlt,1,3.4378,194.7252
heterogeneous_rate,adaptive_dlt,2,3.125,200.2693
heterogeneous_rate,adaptive_dlt,3,3.5002,201.2356
heterogeneous_rate,adaptive_dlt,4,3.3285,208.9125
heterogeneous_rate,adaptive_dlt,5,3.25,199.2541
heterogeneous_rate,adaptive_dlt,6,3.125,195.2061
heterogeneous_rate,adaptive_dlt,7,3.5144,212.1556
heterogeneous_rate,adaptive_dlt,8,3.6361,211.288
heterogeneous_rate,adaptive_dlt,9,3.4716,201.9076
heterogeneous_rate,adaptive_dlt,10,3.4232,208.1992
heterogeneous_rate,adaptive_dlt,11,3.3958,212.4586
heterogeneous_rate,adaptive_dlt,12,3.2942,205.3194
heterogeneous_rate,adaptive_dlt,13,3.5678,215.7823
heterogeneous_rate,adaptive_dlt,14,3.261,198.9286
heterogeneous_rate,adaptive_dlt,15,3.25,198.2426
heterogeneous_rate,adaptive_dlt,16,3.8057,219.8659
heterogeneous_rate,adaptive_dlt,17,3.3468,212.0295
heterogeneous_rate,adaptive_dlt,18,3.3418,204.5753
heterogeneous_rate,adaptive_dlt,19,3.8071,214.6511
heterogeneous_rate,adaptive_dlt,20,3.4776,211.1801
heterogeneous_rate,adaptive_dlt,21,3.483,202.0069
heterogeneous_rate,adaptive_dlt,22,3.4373,209.3601
heterogeneous_rate,adaptive_dlt,23,3.4296,203.7262
heterogeneous_rate,adaptive_dlt,24,3.1968,196.4017
heterogeneous_rate,adaptive_dlt,25,3.3038,204.7617
heterogeneous_rate,adaptive_dlt,26,3.5731,206.9024
heterogeneous_rate,adaptive_dlt,27,3.4867,211.8584
heterogeneous_rate,adaptive_dlt,28,3.3556,202.2165
heterogeneous_rate,adaptive_dlt,29,3.6056,199.1577
heterogeneous_rate,adaptive_dlt,30,3.6681,206.5328
heterogeneous_rate,adaptive_dlt,31,3.7549,209.3122
heterogeneous_rate,adaptive_dlt,32,3.3299,204.9137
heterogeneous_rate,adaptive_dlt,33,3.4212,215.8618
heterogeneous_rate,adaptive_dlt,34,3.475,216.6633
heterogeneous_rate,adaptive_dlt,35,3.3426,207.2047
heterogeneous_rate,adaptive_dlt,36,3.25,208.8195
heterogeneous_rate,adaptive_dlt,37,3.25,201.6679
heterogeneous_rate,adaptive_dlt,38,3.5493,214.4966
heterogeneous_rate,adaptive_dlt,39,3.3597,210.4184
heterogeneous_overhead,fixed_equal,0,4.25,250.1832
heterogeneous_overhead,fixed_equal,1,5.197,282.4713
heterogeneous_overhead,fixed_equal,2,4.8007,279.9573
heterogeneous_overhead,fixed_equal,3,4.7726,283.7588
heterogeneous_overhead,fixed_equal,4,4.25,257.4799
heterogeneous_overhead,fixed_equal,5,4.8038,273.8803
heterogeneous_overhead,fixed_equal,6,4.4134,269.2568
heterogeneous_overhead,fixed_equal,7,4.3194,259.2484
heterogeneous_overhead,fixed_equal,8,4.8191,278.2647
heterogeneous_overhead,fixed_equal,9,4.6063,264.2029
heterogeneous_overhead,fixed_equal,10,4.3631,276.6707
heterogeneous_overhead,fixed_equal,11,4.25,236.0573
